year,round,pick,First,Last,Unnamed: 5
1997,1,1,Tim,Duncan,
1997,1,2,Keith,VanHorn,
1997,1,3,Chauncey,Billups,
1997,1,4,Antonio,Daniels,
1997,1,5,Tony,Battie,
1997,1,6,Ron,Mercer,
1997,1,7,Tim,Thomas,
1997,1,8,Adonal,Foyle,
1997,1,9,Tracy,McGrady,
1997,1,10,Danny,Fortson,
1997,1,11,Tariq,Abdul-Wahad,
1997,1,12,Austin,Croshere,
1997,1,13,Derek,Anderson,
1997,1,14,Maurice,Taylor,
1997,1,15,Kelvin,Cato,
1997,1,16,Brevin,Knight,
1997,1,17,Johnny,Taylor,
1997,1,18,Chris,Anstey,
1997,1,19,Scot,Pollard,
1997,1,20,Paul,Grant,
1997,1,21,Anthony,Parker,
1997,1,22,Ed,Gray,
1997,1,23,Bobby,Jackson,
1997,1,24,Rodrick,Rhodes,
1997,1,25,John,Thomas,
1997,1,26,Charles,Smith,
1997,1,27,Jacque,Vaughn,
1997,1,28,Keith,Booth,
1997,2,29,Serge,Zwikker,
1997,2,30,Mark,Sanford,
1997,2,31,Charles,O'Bannon,
1997,2,32,James,Cotton,
1997,2,33,Marko,Milic,
1997,2,34,Bubba,Wells,
1997,2,35,Kebu,Stewart,
1997,2,36,James,Collins,
1997,2,37,Marc,Jackson,
1997,2,38,Jerald,Honeycutt,
1997,2,39,Anthony,Johnson,
1997,2,40,Ed,Elisma,
1997,2,41,Jason,Lawson,
1997,2,42,Stephen,Jackson,
1997,2,43,Gordon,Malone,
1997,2,44,Cedric,Henderson,
1997,2,45,God,Shammgod,
1997,2,46,Eric,Washington,
1997,2,47,Alvin,Williams,
1997,2,48,Predrag,Drobnjak,
1997,2,49,Alain,Digbeu,
1997,2,50,Chris,Crawford,
1997,2,51,DeJuan,Wheat,
1997,2,52,CJ,Bruton,
1997,2,53,Paul,Rogers,
1997,2,54,Mark,Blount,
1997,2,55,Ben,Pepper,
1997,2,56,Nate,Erdmann,
1997,2,57,Roberto,Duenas,
1998,1,1,Michael,Olowokandi,
1998,1,2,Mike,Bibby,
1998,1,3,Raef,LaFrentz,
1998,1,4,Antawn,Jamison,
1998,1,5,Vince,Carter,
1998,1,6,Robert,Traylor,
1998,1,7,Jason,Williams,
1998,1,8,Larry,Hughes,
1998,1,9,Dirk,Nowitzki,
1998,1,10,Paul,Pierce,
1998,1,11,Bonzi,Wells,
1998,1,12,Michael,Doleac,
1998,1,13,Keon,Clark,
1998,1,14,Michael,Dickerson,
1998,1,15,Matt,Harpring,
1998,1,16,Bryce,Drew,
1998,1,17,Rasho,Nesterovic,
1998,1,18,Mirsad,Turkcan,
1998,1,19,Pat,Garrity,
1998,1,20,Roshown,McLeod,
1998,1,21,Ricky,Davis,
1998,1,22,Brian,Skinner,
1998,1,23,Tyronn,Lue,
1998,1,24,Felipe,Lopez,
1998,1,25,Al,Harrington,
1998,1,26,Sam,Jacobson,
1998,1,27,Vladimir,Stepania,
1998,1,28,Corey,Benjamin,
1998,1,29,Nazr,Mohammed,
1998,2,30,Ansu,Sesay,
1998,2,31,Ruben,Patterson,
1998,2,32,Rashard,Lewis,
1998,2,33,Jelani,McCoy,
1998,2,34,Shammond,Williams,
1998,2,35,Bruno,Sundov,
1998,2,36,Jerome,James,
1998,2,37,Casey,Shaw,
1998,2,38,DeMarco,Johnson,
1998,2,39,Rafer,Alston,
1998,2,40,Korleone,Young,
1998,2,41,Cuttino,Mobley,
1998,2,42,Miles,Simon,
1998,2,43,Jahidi,White,
1998,2,44,Sean,Marks,
1998,2,45,Toby,Bailey,
1998,2,46,Andrae,Patterson,
1998,2,47,Tyson,Wheeler,
1998,2,48,Ryan,Stack,
1998,2,49,Cory,Carr,
1998,2,50,Andrew,Betts,
1998,2,51,Corey,Brewer,
1998,2,52,Derrick,Dial,
1998,2,53,Greg,Buckner,
1998,2,54,Tremaine,Fowlkes,
1998,2,55,Ryan,Bowen,
1998,2,56,JR,Henderson,
1998,2,57,Torraye,Braggs,
1998,2,58,Maceo,Baston,
1999,1,1,Elton,Brand,
1999,1,2,Steve,Francis,
1999,1,3,Baron,Davis,
1999,1,4,Lamar,Odom,
1999,1,5,Jonathan,Bender,
1999,1,6,Wally,Szczerbiak,
1999,1,7,Richard,Hamilton,
1999,1,8,Andre,Miller,
1999,1,9,Shawn,Marion,
1999,1,10,Jason,Terry,
1999,1,11,Trajan,Langdon,
1999,1,12,Aleksandar,Radojevic,
1999,1,13,Corey,Maggette,
1999,1,14,William,Avery,
1999,1,15,Frederic,Weis,
1999,1,16,Ron,Artest,
1999,1,17,Cal,Bowdler,
1999,1,18,James,Posey,
1999,1,19,Quincy,Lewis,
1999,1,20,Dion,Glover,
1999,1,21,Jeff,Foster,
1999,1,22,Kenny,Thomas,
1999,1,23,Devean,George,
1999,1,24,Andrei,Kirilenko,
1999,1,25,Tim,James,
1999,1,26,Vonteego,Cummings,
1999,1,27,Jumaine,Jones,
1999,1,28,Scott,Padgett,
1999,1,29,Leon,Smith,
1999,2,30,John,Celestand,
1999,2,31,Rico,Hill,
1999,2,32,Michael,Ruffin,
1999,2,33,Chris,Herren,
1999,2,34,Evan,Eschmeyer,
1999,2,35,Calvin,Booth,
1999,2,36,Zhizhi,Wang,
1999,2,37,Obinna,Ekezie,
1999,2,38,Laron,Profit,
1999,2,39,AJ,Bramlett,
1999,2,40,Gordan,Giricek,
1999,2,41,Francisco,Elson,
1999,2,42,Louis,Bullock,
1999,2,43,Lee,Nailon,
1999,2,44,Tyrone,Washington,
1999,2,45,Ryan,Robertson,
1999,2,46,JR,Koch,
1999,2,47,,Macculloch,
1999,2,48,Galen,Young,
1999,2,49,Lari,Ketner,
1999,2,50,Venson,Hamilton,
1999,2,51,Antwain,Smith,
1999,2,52,Roberto,Bergersen,
1999,2,53,Rodney,Buford,
1999,2,54,Melvin,Levett,
1999,2,55,Kris,Clack,
1999,2,56,Tim,Young,
1999,2,57,Manu,Ginobili,
1999,2,58,Eddie,Lucas,
2000,1,1,Kenyon,Martin,
2000,1,2,Stromile,Swift,
2000,1,3,Darius,Miles,
2000,1,4,Marcus,Fizer,
2000,1,5,Mike,Miller,
2000,1,6,DerMarr,Johnson,
2000,1,7,Chris,Mihm,
2000,1,8,Jamal,Crawford,
2000,1,9,Joel,Przybilla,
2000,1,10,Keyon,Dooling,
2000,1,11,Jerome,Moiso,
2000,1,12,Etan,Thomas,
2000,1,13,Courtney,Alexander,
2000,1,14,Mateen,Cleaves,
2000,1,15,Jason,Collier,
2000,1,16,Hedo,Turkoglu,
2000,1,17,Desmond,Mason,
2000,1,18,Quentin,Richardson,
2000,1,19,Jamaal,Magloire,
2000,1,20,Speedy,Claxton,
2000,1,21,Morris,Peterson,
2000,1,22,Donnell,Harvey,
2000,1,23,DeShawn,Stevenson,
2000,1,24,Dalibor,Bagaric,
2000,1,25,Jake,Tsakalidis,
2000,1,26,Mamadou,N'Diaye,
2000,1,27,Primoz,Brezec,
2000,1,28,Erick,Barkley,
2000,1,29,Mark,Madsen,
2000,2,30,Marko,Jaric,
2000,2,31,Dan,Langhi,
2000,2,32,AJ,Guyton,
2000,2,33,Jake,Voskuhl,
2000,2,34,Khalid,El-Amin,
2000,2,35,Mike,Smith,
2000,2,36,Soumaila,Samake,
2000,2,37,Eddie,House,
2000,2,38,Eduardo,Najera,
2000,2,39,Lavor,Postell,
2000,2,40,Eduardo,Mottola,
2000,2,41,Chris,Carrawell,
2000,2,42,Olumide,Oyedeji,
2000,2,43,Michael,Redd,
2000,2,44,Brian,Cardinal,
2000,2,45,Jabari,Smith,
2000,2,46,DeeAndre,Hulett,
2000,2,47,Josip,Sesar,
2000,2,48,Mark,Karcher,
2000,2,49,Jason,Hart,
2000,2,50,Kaniel,Dickens,
2000,2,51,Igor,Rakocevic,
2000,2,52,Ernest,Brown,
2000,2,53,Dan,McClintock,
2000,2,54,Cory,Hightower,
2000,2,55,Chris,Porter,
2000,2,56,Jaquay,Walls,
2000,2,57,Scoonie,Penn,
2000,2,58,Pete,Mickeal,
2001,1,1,Kwame,Brown,
2001,1,2,Tyson,Chandler,
2001,1,3,Pau,Gasol,
2001,1,4,Eddy,Curry,
2001,1,5,Jason,Richardson,
2001,1,6,Shane,Battier,
2001,1,7,Eddie,Griffin,
2001,1,8,DeSagana,Diop,
2001,1,9,Rodney,White,
2001,1,10,Joe,Johnson,
2001,1,11,Kedrick,Brown,
2001,1,12,Vladimir,Radmanovic,
2001,1,13,Richard,Jefferson,
2001,1,14,Troy,Murphy,
2001,1,15,Steven,Hunter,
2001,1,16,Kirk,Haston,
2001,1,17,Michael,Bradley,
2001,1,18,Jason,Collins,
2001,1,19,Zach,Randolph,
2001,1,20,Brendan,Haywood,
2001,1,21,Joseph,Forte,
2001,1,22,Jeryl,Sasser,
2001,1,23,Brandon,Armstrong,
2001,1,24,Raul,Lopez,
2001,1,25,Gerald,Wallace,
2001,1,26,Samuel,Dalembert,
2001,1,27,Jamaal,Tinsley,
2001,1,28,Tony,Parker,
2001,2,30,Trenton,Hassell,
2001,2,31,Gilbert,Arenas,
2001,2,32,Omar,Cook,
2001,2,33,Will,Solomon,
2001,2,34,Terence,Morris,
2001,2,35,Brian,Scalabrine,
2001,2,36,Jeff,Trepagnier,
2001,2,37,Damone,Brown,
2001,2,38,Mehmet,Okur,
2001,2,39,Michael,Wright,
2001,2,40,Earl,Watson,
2001,2,41,Jamison,Brewer,
2001,2,42,Bobby,Simmons,
2001,2,43,Eric,Chenowith,
2001,2,44,Kyle,Hill,
2001,2,45,Sean,Lampley,
2001,2,46,Loren,Woods,
2001,2,47,Ousmane,Cisse,
2001,2,48,Antonis,Fotsis,
2001,2,49,Ken,Johnson,
2001,2,50,Ruben,Boumtje-Boumtje,
2001,2,51,Alton,Ford,
2001,2,52,Andre,Hutson,
2001,2,53,Jarron,Collins,
2001,2,54,Kenny,Satterfield,
2001,2,55,Maurice,Jeffers,
2001,2,56,Robertas,Javtokas,
2001,2,57,Alvin,Jones,
2001,2,58,Bryan,Bracey,
2002,1,1,Yao,Ming,
2002,1,2,Jay,Williams,
2002,1,3,Mike,DunleavyJr.,
2002,1,4,Drew,Gooden,
2002,1,5,Nikoloz,Tskitishvili,
2002,1,6,Dajuan,Wagner,
2002,1,7,Nene,Hilario,
2002,1,8,Chris,Wilcox,
2002,1,9,Amare,Stoudemire,
2002,1,10,Caron,Butler,
2002,1,11,Jared,Jeffries,
2002,1,12,Melvin,Ely,
2002,1,13,Marcus,Haislip,
2002,1,14,Fred,Jones,
2002,1,15,Bostjan,Nachbar,
2002,1,16,Jiri,Welsch,
2002,1,17,Juan,Dixon,
2002,1,18,Curtis,Borchardt,
2002,1,19,Ryan,Humphrey,
2002,1,20,Kareem,Rush,
2002,1,21,Qyntel,Woods,
2002,1,22,Casey,Jacobsen,
2002,1,23,Tayshaun,Prince,
2002,1,24,Nenad,Krstic,
2002,1,25,Frank,Williams,
2002,1,26,John,Salmons,
2002,1,27,Chris,Jefferies,
2002,1,28,Dan,Dickau,
2002,2,30,Steve,Logan,
2002,2,31,Mason,RogerJr,
2002,2,32,Robert,Archibald,
2002,2,33,Vincent,Yarbrough,
2002,2,34,Dan,Gadzuric,
2002,2,35,Carlos,Boozer,
2002,2,36,Milos,Vujanic,
2002,2,37,David,Andersen,
2002,2,38,Tito,Maddox,
2002,2,39,Rod,Grizzard,
2002,2,40,JuanCarlos,Navarro,
2002,2,41,Mario,Kasun,
2002,2,42,Ronald,Murray,
2002,2,43,Jason,Jennings,
2002,2,44,Lonny,Baxter,
2002,2,45,Sam,Clancy,
2002,2,46,Matt,Barnes,
2002,2,47,Jamal,Sampson,
2002,2,48,Chris,Owens,
2002,2,49,Peter,Fehse,
2002,2,50,Darius,Songaila,
2002,2,51,Federico,Kammerichs,
2002,2,52,Marcus,Taylor,
2002,2,53,Rasual,Butler,
2002,2,54,Tamar,Slay,
2002,2,55,Mladen,Sekularac,
2002,2,56,Luis,Scola,
2002,2,57,Randy,Holcomb,
2002,2,58,Corsley,Edwards,
2003,1,1,LeBron,James,
2003,1,2,Darko,Milicic,
2003,1,3,Carmelo,Anthony,
2003,1,4,Chris,Bosh,
2003,1,5,Dwyane,Wade,
2003,1,6,Chris,Kaman,
2003,1,7,Kirk,Hinrich,
2003,1,8,TJ,Ford,
2003,1,9,Michael,Sweetney,
2003,1,10,Jarvis,Hayes,
2003,1,11,Mickael,Pietrus,
2003,1,12,Nick,Collison,
2003,1,13,Marcus,Banks,
2003,1,14,Luke,Ridnour,
2003,1,15,Reece,Gaines,
2003,1,16,Troy,Bell,
2003,1,17,Zarko,Cabarkapa,
2003,1,18,David,West,
2003,1,19,Sasha,Pavlovic,
2003,1,20,Dahntay,Jones,
2003,1,21,Boris,Diaw,
2003,1,22,Zoran,Planinic,
2003,1,23,Travis,Outlaw,
2003,1,24,Brian,Cook,
2003,1,25,Carlos,Delfino,
2003,1,26,Ndudi,Ebi,
2003,1,27,Kendrick,Perkins,
2003,1,28,Leandro,Barbosa,
2003,1,29,Josh,Howard,
2003,2,30,Maciej,Lampe,
2003,2,31,Jason,Kapono,
2003,2,32,Luke,Walton,
2003,2,33,Jerome,Beasley,
2003,2,34,Sofoklis,Schortsanitis,
2003,2,35,Szymon,Szewczyk,
2003,2,36,Mario,Austin,
2003,2,37,Travis,Hansen,
2003,2,38,Steve,Blake,
2003,2,39,Slavko,Vranes,
2003,2,40,Derrick,Zimmerman,
2003,2,41,Willie,Green,
2003,2,42,Zaza,Pachulia,
2003,2,43,Keith,Bogans,
2003,2,44,Malick,Badiane,
2003,2,45,Matt,Bonner,
2003,2,46,Sani,Becirovic,
2003,2,47,Mo,Williams,
2003,2,48,James,Lang,
2003,2,49,James,Jones,
2003,2,50,Paccelis,Morlende,
2003,2,51,Kyle,Korver,
2003,2,52,Remon,vandeHare,
2003,2,53,Tommy,Smith,
2003,2,54,Nedzad,Sinanovic,
2003,2,55,Rick,Rickert,
2003,2,56,Brandon,Hunter,
2003,2,57,Xue,Yuyang,
2003,2,58,Andreas,Glyniadakis,
2004,1,1,Dwight,Howard,
2004,1,2,Emeka,Okafor,
2004,1,3,Ben,Gordon,
2004,1,4,Shaun,Livingston,
2004,1,5,Devin,Harris,
2004,1,6,Josh,Childress,
2004,1,7,Luol,Deng,
2004,1,8,Rafael,Araujo,
2004,1,9,Andre,Iguodala,
2004,1,10,Luke,Jackson,
2004,1,11,Andris,Biedrins,
2004,1,12,Robert,Swift,
2004,1,13,Sebastian,Telfair,
2004,1,14,Kris,Humphries,
2004,1,15,Al,Jefferson,
2004,1,16,Kirk,Snyder,
2004,1,17,Josh,Smith,
2004,1,18,JR,Smith,
2004,1,19,Dorell,Wright,
2004,1,20,Jameer,Nelson,
2004,1,21,Pavel,Podkolzin,
2004,1,22,Viktor,Khryapa,
2004,1,23,Sergei,Monia,
2004,1,24,Delonte,West,
2004,1,25,Tony,Allen,
2004,1,26,Kevin,Martin,
2004,1,27,Sasha,Vujacic,
2004,1,28,Beno,Udrih,
2004,1,29,David,Harrison,
2004,2,30,Anderson,Varejao,
2004,2,31,Jackson,Vroman,
2004,2,32,PeterJohn,Ramos,
2004,2,33,Lionel,Chalmers,
2004,2,34,Donta,Smith,
2004,2,35,Andre,Emmett,
2004,2,36,Antonio,Burks,
2004,2,37,Royal,Ivey,
2004,2,38,Chris,Duhon,
2004,2,39,Albert,Miralles,
2004,2,40,Justin,Reed,
2004,2,41,David,Young,
2004,2,42,Viktor,Sanikidze,
2004,2,43,Trevor,Ariza,
2004,2,44,Tim,Pickett,
2004,2,45,Bernard,Robinson,
2004,2,46,Seung-Jin,Ha,
2004,2,47,Pape,Sow,
2004,2,48,Ricky,Minard,
2004,2,49,Sergei,Lishouk,
2004,2,50,Vassilis,Spanoulis,
2004,2,51,Christian,Drejer,
2004,2,52,Romain,Sato,
2004,2,53,Matt,Freije,
2004,2,54,Rickey,Paulding,
2004,2,55,Luis,Flores,
2004,2,56,Marcus,Douthit,
2004,2,57,Sergei,Karaulov,
2004,2,58,Blake,Stepp,
2004,2,59,Rashad,Wright,
2005,1,1,Andrew,Bogut,
2005,1,2,Marvin,Williams,
2005,1,3,Deron,Williams,
2005,1,4,Chris,Paul,
2005,1,5,Raymond,Felton,
2005,1,6,Martell,Webster,
2005,1,7,Charlie,Villanueva,
2005,1,8,Channing,Frye,
2005,1,9,Ike,Diogu,
2005,1,10,Andrew,Bynum,
2005,1,11,Fran,Vazquez,
2005,1,12,Yaroslav,Korolev,
2005,1,13,Sean,May,
2005,1,14,Rashad,McCants,
2005,1,15,Antoine,Wright,
2005,1,16,Joey,Graham,
2005,1,17,Danny,Granger,
2005,1,18,Gerald,Green,
2005,1,19,Hakim,Warrick,
2005,1,20,Julius,Hodge,
2005,1,21,Nate,Robinson,
2005,1,22,Jarrett,Jack,
2005,1,23,Francisco,Garcia,
2005,1,24,Luther,Head,
2005,1,25,Johan,Petro,
2005,1,26,Jason,Maxiell,
2005,1,27,Linas,Kleiza,
2005,1,28,Ian,Mahinmi,
2005,1,29,Wayne,Simien,
2005,1,30,David,Lee,
2005,2,31,Salim,Stoudamire,
2005,2,32,Daniel,Ewing,
2005,2,33,Brandon,Bass,
2005,2,34,CJ,Miles,
2005,2,35,Ricky,Sanchez,
2005,2,36,Ersan,Ilyasova,
2005,2,37,Ronny,Turiaf,
2005,2,38,Travis,Diener,
2005,2,39,Von,Wafer,
2005,2,40,Monta,Ellis,
2005,2,41,Roko,Ukic,
2005,2,42,Chris,Taft,
2005,2,43,Mile,Ilic,
2005,2,44,Martynas,Andriuskevicius,
2005,2,45,Louis,Williams,
2005,2,46,Erazem,Lorbek,
2005,2,47,Bracey,Wright,
2005,2,48,Mickael,Gelabale,
2005,2,49,Andray,Blatche,
2005,2,50,Ryan,Gomes,
2005,2,51,Robert,Whaley,
2005,2,52,Axel,Hervelle,
2005,2,53,Orien,Greene,
2005,2,54,Dijon,Thompson,
2005,2,55,Lawrence,Roberts,
2005,2,56,Amir,Johnson,
2005,2,57,Marcin,Gortat,
2005,2,58,Uros,Slokar,
2005,2,59,Cenk,Akyol,
2005,2,60,Alex,Acker,
2006,1,1,Andrea,Bargnani,
2006,1,2,LaMarcus,Aldridge,
2006,1,3,Adam,Morrison,
2006,1,4,Tyrus,Thomas,
2006,1,5,Shelden,Williams,
2006,1,6,Brandon,Roy,
2006,1,7,Randy,Foye,
2006,1,8,Rudy,Gay,
2006,1,9,Patrick,O'Bryant,
2006,1,10,Mouhamed,Sene,
2006,1,11,JJ,Redick,
2006,1,12,Hilton,Armstrong,
2006,1,13,Thabo,Sefolosha,
2006,1,14,Ronnie,Brewer,
2006,1,15,Cedric,Simmons,
2006,1,16,Rodney,Carney,
2006,1,17,Shawne,Williams,
2006,1,18,Oleksiy,Pecherov,
2006,1,19,Quincy,Douby,
2006,1,20,Renaldo,Balkman,
2006,1,21,Rajon,Rondo,
2006,1,22,Marcus,Williams,
2006,1,23,Josh,Boone,
2006,1,24,Kyle,Lowry,
2006,1,25,Shannon,Brown,
2006,1,26,Jordan,Farmar,
2006,1,27,Sergio,Rodriguez,
2006,1,28,Maurice,Ager,
2006,1,29,Mardy,Collins,
2006,1,30,Joel,Freeland,
2006,2,31,James,White,
2006,2,32,Steve,Novak,
2006,2,33,Solomon,Jones,
2006,2,34,Paul,Davis,
2006,2,35,PJ,Tucker,
2006,2,36,Craig,Smith,
2006,2,37,Bobby,Jones,
2006,2,38,Kosta,Perovic,
2006,2,39,David,Noel,
2006,2,40,Denham,Brown,
2006,2,41,James,Augustine,
2006,2,42,Daniel,Gibson,
2006,2,43,Marcus,Vinicius,
2006,2,44,Lior,Eliyahu,
2006,2,45,Alexander,Johnson,
2006,2,46,Dee,Brown,
2006,2,47,Paul,Millsap,
2006,2,48,Vladimir,Veremeenko,
2006,2,49,Leon,Powe,
2006,2,50,Ryan,Hollins,
2006,2,51,Cheikh,Samb,
2006,2,52,Guillermo,Diaz,
2006,2,53,Yotam,Halperin,
2006,2,54,Hassan,Adams,
2006,2,55,Ejike,Ugboaja,
2006,2,56,Edin,Bavcic,
2006,2,57,Loukas,Mavrokefalidis,
2006,2,58,JR,Pinnock,
2006,2,59,Damir,Markota,
2006,2,60,Will,Blalock,
2007,1,1,Greg,Oden,
2007,1,2,Kevin,Durant,
2007,1,3,Al,Horford,
2007,1,4,Mike,Conley,
2007,1,5,Jeff,Green,
2007,1,6,Jianlian,Yi,
2007,1,7,Corey,Brewer,
2007,1,8,Brandan,Wright,
2007,1,9,Joakim,Noah,
2007,1,10,Spencer,Hawes,
2007,1,11,Acie,Law,
2007,1,12,Thaddeus,Young,
2007,1,13,Julian,Wright,
2007,1,14,Al,Thornton,
2007,1,15,Rodney,Stuckey,
2007,1,16,Nick,Young,
2007,1,17,Sean,Williams,
2007,1,18,Marco,Belinelli,
2007,1,19,Javaris,Crittenton,
2007,1,20,Jason,Smith,
2007,1,21,Daequan,Cook,
2007,1,22,Jared,Dudley,
2007,1,23,Wilson,Chandler,
2007,1,24,Rudy,Fernandez,
2007,1,25,Morris,Almond,
2007,1,26,Aaron,Brooks,
2007,1,27,Arron,Afflalo,
2007,1,28,Tiago,Splitter,
2007,1,29,Alando,Tucker,
2007,1,30,Petteri,Koponen,
2007,2,31,Carl,Landry,
2007,2,32,Gabe,Pruitt,
2007,2,33,Marcus,Williams,
2007,2,34,Nick,Fazekas,
2007,2,35,Glen,Davis,
2007,2,36,Jermareo,Davidson,
2007,2,37,Josh,McRoberts,
2007,2,38,Kyrylo,Fesenko,
2007,2,39,Stanko,Barac,
2007,2,40,Yue,Sun,
2007,2,41,Chris,Richard,
2007,2,42,Derrick,Byars,
2007,2,43,Adam,Haluska,
2007,2,44,Reyshawn,Terry,
2007,2,45,Jared,Jordan,
2007,2,46,Stephane,Lasme,
2007,2,47,Dominic,McGuire,
2007,2,48,Marc,Gasol,
2007,2,49,Aaron,Gray,
2007,2,50,Renaldas,Seibutis,
2007,2,51,JamesOn,Curry,
2007,2,52,Taurean,Green,
2007,2,53,Demetris,Nichols,
2007,2,54,Brad,Newley,
2007,2,55,Herbert,Hill,
2007,2,56,Ramon,Sessions,
2007,2,57,Sammy,Mejia,
2007,2,58,Giorgos,Printezis,
2007,2,59,DJ,Strawberry,
2007,2,60,Milovan,Rakovic,
2008,1,1,Derrick,Rose,
2008,1,2,Michael,Beasley,
2008,1,3,OJ,Mayo,
2008,1,4,Russell,Westbrook,
2008,1,5,Kevin,Love,
2008,1,6,Danilo,Gallinari,
2008,1,7,Eric,Gordon,
2008,1,8,Joe,Alexander,
2008,1,9,DJ,Augustin,
2008,1,10,Brook,Lopez,
2008,1,11,Jerryd,Bayless,
2008,1,12,Jason,Thompson,
2008,1,13,Brandon,Rush,
2008,1,14,Anthony,Randolph,
2008,1,15,Robin,Lopez,
